iter,cpu_seconds,relative_gap
7.200000000000000000e+01,7.479957883400493301e+01,1.629665324909268520e-08
7.300000000000000000e+01,7.581036950100678951e+01,1.514121494849973715e-08
7.400000000000000000e+01,7.687229850102448836e+01,1.408638061750622228e-08
7.500000000000000000e+01,7.799835896003060043e+01,1.316480602309155756e-08
7.600000000000000000e+01,7.907727829401846975e+01,1.230610502389595240e-08
7.700000000000000000e+01,8.013925891902181320e+01,1.150398154514675753e-08
7.800000000000000000e+01,8.127648841901100241e+01,1.075311628628838889e-08
7.900000000000000000e+01,8.226721625201753341e+01,1.005036454060359574e-08
8.000000000000000000e+01,8.326662879402283579e+01,9.393096522813948468e-09
8.100000000000000000e+01,8.434218208500533365e+01,8.778640259166081705e-09
8.200000000000000000e+01,8.538744325202424079e+01,8.204365298247751070e-09
8.300000000000000000e+01,8.640635846002260223e+01,7.667792845111875977e-09
8.400000000000000000e+01,8.738795221003238112e+01,7.166697235660990373e-09
8.500000000000000000e+01,8.845141583503573202e+01,6.698585242048693544e-09
8.600000000000000000e+01,8.956016837703646161e+01,6.261468787904789224e-09
8.700000000000000000e+01,9.062229991902131587e+01,5.853179385617579555e-09
8.800000000000000000e+01,9.179564296102034859e+01,5.471887165597877356e-09
8.900000000000000000e+01,9.280175591903389432e+01,5.115761481100378205e-09
9.000000000000000000e+01,9.389219721002154984e+01,4.783156870580285158e-09
9.100000000000000000e+01,9.500732487702043727e+01,4.472513470687999870e-09
9.200000000000000000e+01,9.612648904303205200e+01,4.182363011473455572e-09
9.300000000000000000e+01,9.721826833405066282e+01,3.911455492833226799e-09
9.400000000000000000e+01,9.836543112504296005e+01,3.659785141607585501e-09
9.500000000000000000e+01,9.941828325003734790e+01,3.432915951506743113e-09
9.600000000000000000e+01,1.004670918750634883e+02,3.208410870314537533e-09
9.700000000000000000e+01,1.014741357090824749e+02,2.999403947434586826e-09
9.800000000000000000e+01,1.025416385840799194e+02,2.805420007412351424e-09
9.900000000000000000e+01,1.037250354180578142e+02,2.624804262829627532e-09
1.000000000000000000e+02,1.047446108760486823e+02,2.456233327841061964e-09
1.010000000000000000e+02,1.057249059180612676e+02,2.298776280440506525e-09
1.020000000000000000e+02,1.067105676680512261e+02,2.151562039642840318e-09
1.030000000000000000e+02,1.076903101680509280e+02,2.013971767134137281e-09
1.040000000000000000e+02,1.086784914600721095e+02,1.885301692539087526e-09
1.050000000000000000e+02,1.097678124600788578e+02,1.764953183602813169e-09
1.060000000000000000e+02,1.108623431680607609e+02,1.652387338069161160e-09
1.070000000000000000e+02,1.119990294600720517e+02,1.547145411784356384e-09
1.080000000000000000e+02,1.130134617510484532e+02,1.448651532065525771e-09
1.090000000000000000e+02,1.141796404600609094e+02,1.356511347694322467e-09
1.100000000000000000e+02,1.153586447930720169e+02,1.270327398827930665e-09
1.110000000000000000e+02,1.164530040840618312e+02,1.189765286291333268e-09
1.120000000000000000e+02,1.176441606680746190e+02,1.114355718812021223e-09
1.130000000000000000e+02,1.186910232520604040e+02,1.043749753293354843e-09
1.140000000000000000e+02,1.197368935440608766e+02,9.777941789579358556e-10
1.150000000000000000e+02,1.207394623770669568e+02,9.160313618750137721e-10
1.160000000000000000e+02,1.217774312940600794e+02,8.581577670696560745e-10
1.170000000000000000e+02,1.228169322110479698e+02,8.040752508264858989e-10
1.180000000000000000e+02,1.238203654200478923e+02,7.534717294532811138e-10
1.190000000000000000e+02,1.248789984620525502e+02,7.060332318786777250e-10
1.200000000000000000e+02,1.259180237120308448e+02,6.616570624728979055e-10
1.210000000000000000e+02,1.269334319200424943e+02,6.199715185672971529e-10
1.220000000000000000e+02,1.279408571700332686e+02,5.810463221678219270e-10
1.230000000000000000e+02,1.289569505030231085e+02,5.446239015327591915e-10
1.240000000000000000e+02,1.299905285870481748e+02,5.104950906442695668e-10
1.250000000000000000e+02,1.310256974620569963e+02,4.785535301365939631e-10
1.260000000000000000e+02,1.320814237530576065e+02,4.486874205511526270e-10
1.270000000000000000e+02,1.330958478780521546e+02,4.206113235483144308e-10
1.280000000000000000e+02,1.341677382530469913e+02,3.943848581045017454e-10
1.290000000000000000e+02,1.356211248780600727e+02,3.695836969797028360e-10
1.300000000000000000e+02,1.368183924200420734e+02,3.465013831416285939e-10
1.310000000000000000e+02,1.378281432120420504e+02,3.249475133415558048e-10
1.320000000000000000e+02,1.388548600870417431e+02,3.046908281234550486e-10
1.330000000000000000e+02,1.398650612960336730e+02,2.858232539537652883e-10
1.340000000000000000e+02,1.408643307960301172e+02,2.680504707086583949e-10
1.350000000000000000e+02,1.419785407960298471e+02,2.514276564724582386e-10
1.360000000000000000e+02,1.430528781710308976e+02,2.358958584025572236e-10
1.370000000000000000e+02,1.442237243380222935e+02,2.212953154057117899e-10
1.380000000000000000e+02,1.454079575460054912e+02,2.076038230214294344e-10
1.390000000000000000e+02,1.465124334630090743e+02,1.947624284071025613e-10
1.400000000000000000e+02,1.476054457550053485e+02,1.827461515446771045e-10
1.410000000000000000e+02,1.486078505880141165e+02,1.714631769900165636e-10
1.420000000000000000e+02,1.496887882960145362e+02,1.608871924574373224e-10
1.430000000000000000e+02,1.507645756710262503e+02,1.510309655117225702e-10
1.440000000000000000e+02,1.518060656710295007e+02,1.416723405256448132e-10
1.450000000000000000e+02,1.529340650880185422e+02,1.329750753953362619e-10
1.460000000000000000e+02,1.540137565880140755e+02,1.248033898448852597e-10
1.470000000000000000e+02,1.550598555460164789e+02,1.171736041527537964e-10
1.480000000000000000e+02,1.561303950870351400e+02,1.099340618537780756e-10
1.490000000000000000e+02,1.572375255870574620e+02,1.032296470526716803e-10
1.500000000000000000e+02,1.583311469620384742e+02,9.691170088643730196e-11
