iter,cpu_seconds,relative_gap
4.100000000000000000e+01,2.720769058214500546e+01,2.005190507303744596e-06
4.200000000000000000e+01,2.794884441513568163e+01,1.862424613086055558e-06
4.300000000000000000e+01,2.860212016513105482e+01,1.740767102020868151e-06
4.400000000000000000e+01,2.925620383213390596e+01,1.578908852661875528e-06
4.500000000000000000e+01,2.990882799914106727e+01,1.414623694517835872e-06
4.600000000000000000e+01,3.057143741613253951e+01,1.288967351187331190e-06
4.700000000000000000e+01,3.122502083313884214e+01,1.175385224150282681e-06
4.800000000000000000e+01,3.187982004211517051e+01,1.081725684692891321e-06
4.900000000000000000e+01,3.253376520911115222e+01,1.001479578488506661e-06
5.000000000000000000e+01,3.318673279212089255e+01,9.295992147162479569e-07
5.100000000000000000e+01,3.384140112512977794e+01,8.219110166907128701e-07
5.200000000000000000e+01,3.452208512512152083e+01,7.452464076962428408e-07
5.300000000000000000e+01,3.518386275012744591e+01,6.865821711166120167e-07
5.400000000000000000e+01,3.585306904112803750e+01,6.381068576866155695e-07
5.500000000000000000e+01,3.652367491612676531e+01,5.956542309393242363e-07
5.600000000000000000e+01,3.720040470812818967e+01,5.579328496985169750e-07
5.700000000000000000e+01,3.790653583311359398e+01,5.226175859851522887e-07
5.800000000000000000e+01,3.858113666711142287e+01,4.916889383421718662e-07
5.900000000000000000e+01,3.924684058412094600e+01,4.640781714471131636e-07
6.000000000000000000e+01,3.991693100112024695e+01,4.313152950352616699e-07
6.100000000000000000e+01,4.057781583414180204e+01,4.090361760411553860e-07
6.200000000000000000e+01,4.127297966714832000e+01,3.884790875652299746e-07
6.300000000000000000e+01,4.195390829214011319e+01,3.687325956791553949e-07
6.400000000000000000e+01,4.270227687613805756e+01,3.516065915087907001e-07
6.500000000000000000e+01,4.339593866714858450e+01,3.357988089813801480e-07
6.600000000000000000e+01,4.407999633415602148e+01,3.214574458842989202e-07
6.700000000000000000e+01,4.474673095915932208e+01,3.073677712350786351e-07
6.800000000000000000e+01,4.543317829316947609e+01,2.944501755752781946e-07
6.900000000000000000e+01,4.620934587717056274e+01,2.824568969828078480e-07
7.000000000000000000e+01,4.694209658616455272e+01,2.711607908212343432e-07
7.100000000000000000e+01,4.762328362718108110e+01,2.605103830433108669e-07
7.200000000000000000e+01,4.829437496117316186e+01,2.506880939501243688e-07
7.300000000000000000e+01,4.898359758616425097e+01,2.413292522485122049e-07
7.400000000000000000e+01,4.965572225218056701e+01,2.325012830040051881e-07
7.500000000000000000e+01,5.033541171019896865e+01,2.242319365741707315e-07
7.600000000000000000e+01,5.109808433518628590e+01,2.156683579501716963e-07
7.700000000000000000e+01,5.179627408517990261e+01,2.083060453017537839e-07
7.800000000000000000e+01,5.247314346019993536e+01,2.012403926832107004e-07
7.900000000000000000e+01,5.325107904418837279e+01,1.943968916950922221e-07
8.000000000000000000e+01,5.396990050320164301e+01,1.877227849833573714e-07
8.100000000000000000e+01,5.464579333720030263e+01,1.815009927907951237e-07
8.200000000000000000e+01,5.534063312920625322e+01,1.755396566993638885e-07
8.300000000000000000e+01,5.601084054523380473e+01,1.698397784632987850e-07
8.400000000000000000e+01,5.674015546223381534e+01,1.644435855263637336e-07
8.500000000000000000e+01,5.743051558724255301e+01,1.593604781469082354e-07
8.600000000000000000e+01,5.812637354523758404e+01,1.498886811335253810e-07
8.700000000000000000e+01,5.883304967024014331e+01,1.404541933869296599e-07
8.800000000000000000e+01,5.953339750322629698e+01,1.316756371716465424e-07
8.900000000000000000e+01,6.021966683623031713e+01,1.235164269752786481e-07
9.000000000000000000e+01,6.090662479421007447e+01,1.162020041300948492e-07
9.100000000000000000e+01,6.161980725222383626e+01,1.099272418647601057e-07
9.200000000000000000e+01,6.230815175222232938e+01,1.044009187989303200e-07
9.300000000000000000e+01,6.300248229323187843e+01,9.937973799445387613e-08
9.400000000000000000e+01,6.369131708424538374e+01,9.489896679593101680e-08
9.500000000000000000e+01,6.438165125122759491e+01,9.070887119211334948e-08
9.600000000000000000e+01,6.507029666824382730e+01,8.683427765721063452e-08
9.700000000000000000e+01,6.578214612722513266e+01,8.331377210346602169e-08
9.800000000000000000e+01,6.647780891921138391e+01,8.025900422037324233e-08
9.900000000000000000e+01,6.717408796123345383e+01,7.744660468489428240e-08
